iter	Passed	Remaining
437	1377	1768
438	1379	1763
439	1384	1762
440	1387	1758
441	1390	1755
442	1392	1750
443	1395	1746
444	1398	1744
445	1402	1741
446	1405	1738
447	1408	1735
448	1410	1730
449	1412	1726
450	1415	1722
451	1419	1721
452	1422	1717
453	1423	1712
454	1428	1711
455	1430	1706
456	1433	1703
457	1436	1699
458	1437	1694
459	1439	1690
460	1442	1686
461	1443	1681
462	1446	1677
463	1448	1672
464	1449	1668
465	1451	1663
466	1453	1659
467	1457	1656
468	1460	1653
469	1463	1650
470	1465	1646
471	1467	1641
472	1470	1637
473	1472	1633
474	1473	1628
475	1474	1623
476	1476	1618
477	1477	1613
478	1479	1608
479	1480	1604
480	1482	1599
481	1485	1596
482	1487	1591
483	1489	1587
484	1490	1582
485	1491	1577
486	1493	1573
487	1494	1568
488	1496	1563
489	1497	1558
490	1499	1554
491	1502	1550
492	1503	1546
493	1505	1541
494	1506	1537
495	1508	1532
496	1509	1527
497	1510	1523
498	1512	1518
499	1515	1515
500	1517	1511
501	1519	1507
502	1521	1503
503	1523	1498
504	1524	1494
505	1525	1489
506	1527	1485
507	1529	1481
508	1531	1477
509	1533	1473
510	1535	1469
511	1537	1465
512	1538	1460
513	1539	1456
514	1541	1451
515	1544	1448
516	1546	1444
517	1547	1440
518	1549	1435
519	1550	1431
520	1551	1426
521	1553	1422
522	1554	1418
523	1556	1413
524	1559	1410
525	1560	1406
526	1562	1402
527	1563	1398
528	1565	1393
529	1566	1389
530	1568	1385
531	1569	1380
532	1571	1376
533	1573	1373
534	1575	1369
535	1577	1365
536	1578	1361
537	1580	1356
538	1581	1352
539	1582	1348
540	1584	1344
541	1585	1340
542	1589	1338
543	1593	1335
544	1595	1331
545	1596	1327
546	1598	1323
547	1599	1319
548	1601	1315
549	1603	1312
550	1605	1308
551	1607	1304
552	1608	1300
553	1610	1296
554	1611	1292
555	1612	1287
556	1614	1283
557	1615	1279
558	1618	1276
559	1620	1273
560	1622	1269
561	1623	1265
562	1625	1262
563	1627	1258
564	1628	1254
565	1630	1250
566	1632	1246
567	1634	1243
568	1636	1239
569	1637	1235
570	1639	1231
571	1640	1227
572	1642	1223
573	1643	1219
574	1645	1216
575	1647	1212
576	1649	1209
577	1651	1205
578	1652	1201
579	1653	1197
580	1655	1193
581	1656	1189
582	1658	1186
583	1659	1182
584	1662	1179
585	1664	1175
586	1665	1172
587	1667	1168
588	1668	1164
589	1670	1160
590	1671	1156
591	1673	1153
592	1674	1149
593	1677	1146
594	1679	1143
595	1681	1139
596	1682	1135
597	1684	1132
598	1685	1128
599	1687	1124
600	1688	1121
601	1690	1117
602	1692	1114
603	1694	1110
604	1695	1107
605	1697	1103
606	1698	1099
607	1700	1096
608	1701	1092
609	1703	1088
610	1704	1085
611	1707	1082
612	1709	1079
613	1711	1075
614	1712	1072
615	1714	1068
616	1715	1064
617	1716	1061
618	1718	1057
619	1721	1055
620	1724	1052
621	1725	1048
622	1727	1045
623	1730	1042
624	1733	1039
625	1734	1036
626	1737	1033
627	1738	1030
628	1740	1026
629	1741	1022
630	1743	1019
631	1744	1015
632	1746	1012
633	1747	1008
634	1750	1006
635	1752	1002
636	1753	999
637	1755	995
638	1756	992
639	1757	988
640	1759	985
641	1760	981
642	1762	978
643	1765	975
644	1766	972
645	1768	969
646	1769	965
647	1771	962
648	1772	958
649	1774	955
650	1775	951
651	1776	948
652	1781	946
653	1782	943
654	1784	939
655	1785	936
656	1787	932
657	1788	929
658	1789	926
659	1791	922
660	1794	920
661	1796	917
662	1798	914
663	1799	910
664	1801	907
665	1802	904
666	1804	900
667	1805	897
668	1806	893
669	1809	891
670	1811	888
671	1813	885
672	1815	882
673	1817	879
674	1818	875
675	1820	872
676	1821	869
677	1824	866
678	1826	863
679	1827	860
680	1829	856
681	1830	853
682	1832	850
683	1833	847
684	1835	843
685	1836	840
686	1839	838
687	1841	834
688	1842	831
689	1844	828
690	1845	825
691	1847	822
692	1848	818
693	1850	815
694	1853	813
695	1855	810
696	1859	808
697	1860	805
698	1862	801
699	1863	798
700	1864	795
701	1866	792
702	1869	789
703	1870	786
704	1872	783
705	1873	780
706	1875	777
707	1876	774
708	1878	770
709	1879	767
710	1881	764
711	1883	762
712	1885	759
713	1887	755
714	1888	752
715	1889	749
716	1891	746
717	1892	743
718	1894	740
719	1896	737
720	1899	734
721	1900	731
722	1902	728
723	1904	726
724	1906	723
725	1907	719
726	1909	716
727	1910	713
728	1913	711
729	1915	708
730	1916	705
731	1917	702
732	1919	699
733	1920	696
734	1922	693
735	1923	690
736	1925	687
737	1928	684
738	1930	681
739	1931	678
740	1933	675
741	1934	672
742	1935	669
743	1937	666
744	1938	663
745	1941	661
746	1943	658
747	1945	655
748	1946	652
749	1948	649
750	1949	646
751	1950	643
752	1952	640
753	1953	637
754	1956	634
755	1958	632
756	1959	629
757	1961	626
758	1962	623
759	1964	620
760	1965	617
761	1967	614
762	1970	612
763	1973	609
764	1975	606
765	1976	603
766	1978	601
767	1980	598
768	1981	595
769	1983	592
770	1989	591
771	1992	588
772	1993	585
773	1995	582
774	1996	579
775	1998	576
776	2000	574
777	2002	571
778	2004	568
779	2005	565
780	2007	563
781	2009	560
782	2010	557
783	2012	554
784	2013	551
785	2016	549
786	2018	546
787	2019	543
788	2021	540
789	2022	537
790	2024	534
791	2025	531
792	2027	529
793	2028	526
794	2031	523
795	2033	521
796	2034	518
797	2036	515
798	2037	512
799	2039	509
800	2040	506
801	2041	504
802	2043	501
803	2046	498
804	2047	496
805	2049	493
806	2050	490
807	2052	487
808	2053	484
809	2055	482
810	2056	479
811	2057	476
812	2060	473
813	2062	471
814	2063	468
815	2065	465
816	2066	462
817	2067	460
818	2069	457
819	2070	454
820	2072	451
821	2075	449
822	2077	446
823	2078	444
824	2080	441
825	2081	438
826	2083	435
827	2084	433
828	2086	430
829	2087	427
830	2090	425
831	2092	422
832	2093	419
833	2095	417
834	2097	414
835	2098	411
836	2100	409
837	2101	406
838	2104	403
839	2106	401
840	2108	398
841	2109	395
842	2110	393
843	2112	390
844	2113	387
845	2115	385
846	2116	382
847	2120	380
848	2122	377
849	2124	374
850	2125	372
851	2127	369
852	2128	366
853	2130	364
854	2133	361
855	2134	359
856	2136	356
857	2137	353
858	2138	351
859	2140	348
860	2141	345
861	2143	343
862	2145	340
863	2147	338
864	2149	335
865	2150	332
866	2151	330
867	2153	327
868	2154	324
869	2156	322
870	2157	319
871	2159	316
872	2162	314
873	2164	311
874	2165	309
875	2167	306
876	2168	304
877	2169	301
878	2171	298
879	2172	296
880	2175	293
881	2177	291
882	2179	288
883	2181	286
884	2183	283
885	2184	281
